Timestamp,Original Message,Translated Message,Priority,Confidence (%),Emergency Type
2025-05-08 18:33:45,i have got fire in my apartment,i have got fire in my apartment,High,40.54,Fire
2025-05-08 21:51:37,There is a mild injury in my hand,There is a mild injury in my hand,High,37.27,Medical
2025-05-08 21:52:01,There is a  fight near the park,There is a  fight near the park,High,50.91,Crime
2025-05-08 21:52:22,i missed my purse,i missed my purse,Low,68.43,Other
2025-05-08 21:53:40,there is a smoke in the house,there is a smoke in the house,Medium,49.54,Fire
2025-05-08 21:54:16,there is a smoke in the house,there is a smoke in the house,Medium,49.54,Fire
2025-05-08 22:16:16,there is a theft at home,there is a theft at home,High,61.48,Other
2025-05-08 22:17:52,there is a theft at home,there is a theft at home,High,61.48,Other
2025-05-08 22:23:00,there is a breathing difficulty,there is a breathing difficulty,High,46.13,Other
2025-05-08 22:29:17,there is a injured dog in the street,there is a injured dog in the street,High,49.20,Other
2025-05-08 22:33:26,there is a gun shot near my house,there is a gun shot near my house,High,43.07,Crime
2025-05-08 22:35:51,there is gas smell in the house,there is gas smell in the house,High,50.12,Fire
2025-05-08 23:09:51,got gas smell,got gas smell,Low,35.54,Fire
2025-05-08 23:16:13,fire in kitchen,fire in kitchen,High,42.45,Fire
2025-05-08 23:21:22,smoke in the neighbour house,smoke in the neighbour house,Medium,52.81,Fire
2025-05-09 01:00:56,fire,fire,High,44.59,Fire
2025-05-09 01:12:31,smoke outside,smoke outside,Medium,38.08,Fire
2025-05-09 01:20:23,smoke in street,smoke in street,Medium,54.60,Fire
